,symboling,normalized-losses,make,num-of-doors,body-style,drive-wheels,engine-location,wheel-base,length,width,height,curb-weight,engine-type,num-of-cylinders,engine-size,fuel-system,bore,stroke,compression-ratio,horsepower,peak-rpm,city-mpg,highway-mpg,price,city-L/100km,highway-L/100km,horsepower-binned,fuel-type-diesel,fuel-type-gas,aspiration-std,aspiration-turbo
0,3,122.0,alfa-romero,2,convertible,rwd,front,88.6,0.811,0.890,0.816,2548,dohc,4,130,mpfi,3.47,2.68,9.0,111.0,5000.0,21,27,16500,8.936170212765957,11.48936170212766,medium,0,1,1,0
1,1,122.0,alfa-romero,2,hatchback,rwd,front,94.5,0.823,0.910,0.876,2823,ohcv,6,152,mpfi,2.68,3.47,9.0,154.0,5000.0,19,26,16500,8.085106382978724,11.063829787234042,medium,0,1,1,0
2,2,164.0,audi,4,sedan,fwd,front,99.8,0.849,0.919,0.908,2337,ohc,4,109,mpfi,3.19,3.4,10.0,102.0,5500.0,24,30,13950,10.212765957446807,12.76595744680851,medium,0,1,1,0
3,2,164.0,audi,4,sedan,4wd,front,99.4,0.849,0.922,0.908,2824,ohc,5,136,mpfi,3.19,3.4,8.0,115.0,5500.0,18,22,17450,7.659574468085106,9.361702127659575,medium,0,1,1,0
4,2,122.0,audi,2,sedan,fwd,front,99.8,0.852,0.921,0.888,2507,ohc,5,136,mpfi,3.19,3.4,8.5,110.0,5500.0,19,25,15250,8.085106382978724,10.638297872340425,medium,0,1,1,0
5,1,158.0,audi,4,sedan,fwd,front,105.8,0.926,0.992,0.931,2844,ohc,5,136,mpfi,3.19,3.4,8.5,110.0,5500.0,19,25,17710,8.085106382978724,10.638297872340425,medium,0,1,1,0
6,1,122.0,audi,4,wagon,fwd,front,105.8,0.926,0.992,0.931,2954,ohc,5,136,mpfi,3.19,3.4,8.5,110.0,5500.0,19,25,18920,8.085106382978724,10.638297872340425,medium,0,1,1,0
7,1,158.0,audi,4,sedan,fwd,front,105.8,0.926,0.992,0.935,3086,ohc,5,131,mpfi,3.13,3.4,8.3,140.0,5500.0,17,20,23875,7.234042553191489,8.51063829787234,medium,0,1,0,1
8,2,192.0,bmw,2,sedan,rwd,front,101.2,0.850,0.900,0.908,2395,ohc,4,108,mpfi,3.5,2.8,8.8,101.0,5800.0,23,29,16430,9.787234042553191,12.340425531914892,medium,0,1,1,0
9,0,192.0,bmw,4,sedan,rwd,front,101.2,0.850,0.900,0.908,2395,ohc,4,108,mpfi,3.5,2.8,8.8,101.0,5800.0,23,29,16925,9.787234042553191,12.340425531914892,medium,0,1,1,0
10,0,188.0,bmw,2,sedan,rwd,front,101.2,0.850,0.900,0.908,2710,ohc,6,164,mpfi,3.31,3.19,9.0,121.0,4250.0,21,28,20970,8.936170212765957,11.914893617021276,medium,0,1,1,0
11,0,188.0,bmw,4,sedan,rwd,front,101.2,0.850,0.900,0.908,2765,ohc,6,164,mpfi,3.31,3.19,9.0,121.0,4250.0,21,28,21105,8.936170212765957,11.914893617021276,medium,0,1,1,0
12,1,122.0,bmw,4,sedan,rwd,front,103.5,0.908,0.929,0.931,3055,ohc,6,164,mpfi,3.31,3.19,9.0,121.0,4250.0,20,25,24565,8.51063829787234,10.638297872340425,medium,0,1,1,0
13,0,122.0,bmw,4,sedan,rwd,front,103.5,0.908,0.929,0.931,3230,ohc,6,209,mpfi,3.62,3.39,8.0,182.0,5400.0,16,22,30760,6.808510638297872,9.361702127659575,high,0,1,1,0
14,0,122.0,bmw,2,sedan,rwd,front,103.5,0.931,0.943,0.898,3380,ohc,6,209,mpfi,3.62,3.39,8.0,182.0,5400.0,16,22,41315,6.808510638297872,9.361702127659575,high,0,1,1,0
15,0,122.0,bmw,4,sedan,rwd,front,110.0,0.947,0.985,0.941,3505,ohc,6,209,mpfi,3.62,3.39,8.0,182.0,5400.0,15,20,36880,6.382978723404255,8.51063829787234,high,0,1,1,0
16,2,121.0,chevrolet,2,hatchback,fwd,front,88.4,0.678,0.837,0.890,1488,l,3,61,2bbl,2.91,3.03,9.5,48.0,5100.0,47,0.886,5151,20.0,22.5531914893617,low,0,1,1,0
17,1,98.0,chevrolet,2,hatchback,fwd,front,94.5,0.749,0.883,0.870,1874,ohc,4,90,2bbl,3.03,3.11,9.6,70.0,5400.0,38,43,6295,16.170212765957448,18.29787234042553,low,0,1,1,0
18,0,81.0,chevrolet,4,sedan,fwd,front,94.5,0.763,0.883,0.870,1909,ohc,4,90,2bbl,3.03,3.11,9.6,70.0,5400.0,38,43,6575,16.170212765957448,18.29787234042553,low,0,1,1,0
19,1,118.0,dodge,2,hatchback,fwd,front,93.7,0.756,0.886,0.849,1876,ohc,4,90,2bbl,2.97,3.23,9.41,0.944,5500.0,37,41,5572,15.74468085106383,17.4468085106383,low,0,1,1,0
20,1,118.0,dodge,2,hatchback,fwd,front,93.7,0.756,0.886,0.849,1876,ohc,4,90,2bbl,2.97,3.23,9.4,0.944,5500.0,31,38,6377,13.191489361702127,16.170212765957448,low,0,1,1,0
21,1,118.0,dodge,2,hatchback,fwd,front,93.7,0.756,0.886,0.849,2128,ohc,4,98,mpfi,3.03,3.39,7.6,102.0,5500.0,24,30,7957,10.212765957446807,12.76595744680851,medium,0,1,0,1
22,1,148.0,dodge,4,hatchback,fwd,front,93.7,0.756,0.886,0.846,1967,ohc,4,90,2bbl,2.97,3.23,9.4,0.944,5500.0,31,38,6229,13.191489361702127,16.170212765957448,low,0,1,1,0
23,1,148.0,dodge,4,sedan,fwd,front,93.7,0.756,0.886,0.846,1989,ohc,4,90,2bbl,2.97,3.23,9.4,0.944,5500.0,31,38,6692,13.191489361702127,16.170212765957448,low,0,1,1,0
24,1,148.0,dodge,4,sedan,fwd,front,93.7,0.756,0.886,0.846,1989,ohc,4,90,2bbl,2.97,3.23,9.4,0.944,5500.0,31,38,7609,13.191489361702127,16.170212765957448,low,0,1,1,0
25,1,148.0,dodge,4,sedan,fwd,front,93.7,0.756,0.886,0.846,2191,ohc,4,98,mpfi,3.03,3.39,7.6,102.0,5500.0,24,30,8558,10.212765957446807,12.76595744680851,medium,0,1,0,1
26,-1,110.0,dodge,4,wagon,fwd,front,103.3,0.839,0.897,1.000,2535,ohc,4,122,2bbl,3.34,3.46,8.5,88.0,5000.0,24,30,8921,10.212765957446807,12.76595744680851,medium,0,1,1,0
27,3,145.0,dodge,2,hatchback,fwd,front,95.9,0.832,0.921,0.839,2811,ohc,4,156,mfi,3.6,3.9,7.0,145.0,5000.0,19,24,12964,8.085106382978724,10.212765957446807,medium,0,1,0,1
28,2,137.0,honda,2,hatchback,fwd,front,86.6,0.695,0.887,0.849,1713,ohc,4,92,1bbl,2.91,3.41,9.6,58.0,4800.0,49,54,6479,20.851063829787233,22.97872340425532,low,0,1,1,0
29,2,137.0,honda,2,hatchback,fwd,front,86.6,0.695,0.887,0.849,1819,ohc,4,92,1bbl,2.91,3.41,9.2,76.0,6000.0,31,38,6855,13.191489361702127,16.170212765957448,low,0,1,1,0
30,1,101.0,honda,2,hatchback,fwd,front,93.7,0.721,0.889,0.880,1837,ohc,4,79,1bbl,2.91,3.07,10.1,60.0,5500.0,38,42,5399,16.170212765957448,17.872340425531913,low,0,1,1,0
31,1,101.0,honda,2,hatchback,fwd,front,93.7,0.721,0.889,0.880,1940,ohc,4,92,1bbl,2.91,3.41,9.2,76.0,6000.0,30,34,6529,12.76595744680851,14.468085106382977,low,0,1,1,0
32,1,101.0,honda,2,hatchback,fwd,front,93.7,0.721,0.889,0.880,1956,ohc,4,92,1bbl,2.91,3.41,9.2,76.0,6000.0,30,34,7129,12.76595744680851,14.468085106382977,low,0,1,1,0
33,0,110.0,honda,4,sedan,fwd,front,96.5,0.785,0.889,0.911,2010,ohc,4,92,1bbl,2.91,3.41,9.2,76.0,6000.0,30,34,7295,12.76595744680851,14.468085106382977,low,0,1,1,0
34,0,78.0,honda,4,wagon,fwd,front,96.5,0.755,0.887,0.975,2024,ohc,4,92,1bbl,2.92,3.41,9.2,76.0,6000.0,30,34,7295,12.76595744680851,14.468085106382977,low,0,1,1,0
35,0,106.0,honda,2,hatchback,fwd,front,96.5,0.805,0.906,0.891,2236,ohc,4,110,1bbl,3.15,3.58,9.0,86.0,5800.0,27,33,7895,11.48936170212766,14.042553191489361,low,0,1,1,0
36,0,106.0,honda,2,hatchback,fwd,front,96.5,0.805,0.906,0.891,2289,ohc,4,110,1bbl,3.15,3.58,9.0,86.0,5800.0,27,33,9095,11.48936170212766,14.042553191489361,low,0,1,1,0
37,0,85.0,honda,4,sedan,fwd,front,96.5,0.843,0.906,0.905,2304,ohc,4,110,1bbl,3.15,3.58,9.0,86.0,5800.0,27,33,8845,11.48936170212766,14.042553191489361,low,0,1,1,0
38,0,85.0,honda,4,sedan,fwd,front,96.5,0.843,0.868,0.905,2372,ohc,4,110,1bbl,3.15,3.58,9.0,86.0,5800.0,27,33,10295,11.48936170212766,14.042553191489361,low,0,1,1,0
39,0,85.0,honda,4,sedan,fwd,front,96.5,0.843,0.906,0.905,2465,ohc,4,110,mpfi,3.15,3.58,9.0,101.0,5800.0,24,28,12945,10.212765957446807,11.914893617021276,medium,0,1,1,0
40,1,107.0,honda,2,sedan,fwd,front,96.5,0.813,0.917,0.853,2293,ohc,4,110,2bbl,3.15,3.58,9.1,100.0,5500.0,25,31,10345,10.638297872340425,13.191489361702127,medium,0,1,1,0
41,0,122.0,isuzu,4,sedan,rwd,front,94.3,0.820,0.858,0.895,2337,ohc,4,111,2bbl,3.31,3.23,8.5,78.0,4800.0,24,29,6785,10.212765957446807,12.340425531914892,low,0,1,1,0
42,2,122.0,isuzu,2,hatchback,rwd,front,96.0,0.829,0.906,0.860,2734,ohc,4,119,spfi,3.43,3.23,9.2,90.0,5000.0,24,29,11048,10.212765957446807,12.340425531914892,medium,0,1,1,0
43,0,145.0,jaguar,4,sedan,rwd,front,113.0,0.959,0.967,0.883,4066,dohc,6,258,mpfi,3.63,4.17,8.1,176.0,4750.0,15,19,32250,6.382978723404255,8.085106382978724,high,0,1,1,0
44,0,122.0,jaguar,4,sedan,rwd,front,113.0,0.959,0.967,0.883,4066,dohc,6,258,mpfi,3.63,4.17,8.1,176.0,4750.0,15,19,35550,6.382978723404255,8.085106382978724,high,0,1,1,0
45,0,122.0,jaguar,2,sedan,rwd,front,102.0,0.921,0.981,0.799,3950,ohcv,12,326,mpfi,3.54,2.76,11.5,262.0,5000.0,13,17,36000,5.531914893617021,7.234042553191489,high,0,1,1,0
46,1,104.0,mazda,2,hatchback,fwd,front,93.1,0.765,0.892,0.905,1890,ohc,4,91,2bbl,3.03,3.15,9.0,0.944,5000.0,30,31,5195,12.76595744680851,13.191489361702127,low,0,1,1,0
47,1,104.0,mazda,2,hatchback,fwd,front,93.1,0.765,0.892,0.905,1900,ohc,4,91,2bbl,3.03,3.15,9.0,0.944,5000.0,31,38,6095,13.191489361702127,16.170212765957448,low,0,1,1,0
48,1,104.0,mazda,2,hatchback,fwd,front,93.1,0.765,0.892,0.905,1905,ohc,4,91,2bbl,3.03,3.15,9.0,0.944,5000.0,31,38,6795,13.191489361702127,16.170212765957448,low,0,1,1,0
49,1,113.0,mazda,4,sedan,fwd,front,93.1,0.802,0.892,0.905,1945,ohc,4,91,2bbl,3.03,3.15,9.0,0.944,5000.0,31,38,6695,13.191489361702127,16.170212765957448,low,0,1,1,0
50,1,113.0,mazda,4,sedan,fwd,front,93.1,0.802,0.892,0.905,1950,ohc,4,91,2bbl,3.08,3.15,9.0,0.944,5000.0,31,38,7395,13.191489361702127,16.170212765957448,low,0,1,1,0
51,3,0.721,mazda,2,hatchback,rwd,front,95.3,0.812,0.913,0.829,2380,rotor,2,70,4bbl,3.3300000000000005,3.2598469387755107,9.4,101.0,6000.0,17,23,10945,7.234042553191489,9.787234042553191,medium,0,1,1,0
52,3,0.721,mazda,2,hatchback,rwd,front,95.3,0.812,0.913,0.829,2380,rotor,2,70,4bbl,3.3300000000000005,3.2598469387755107,9.4,101.0,6000.0,17,23,11845,7.234042553191489,9.787234042553191,medium,0,1,1,0
53,3,0.721,mazda,2,hatchback,rwd,front,95.3,0.812,0.913,0.829,2385,rotor,2,70,4bbl,3.3300000000000005,3.2598469387755107,9.4,101.0,6000.0,17,23,13645,7.234042553191489,9.787234042553191,medium,0,1,1,0
54,3,0.721,mazda,2,hatchback,rwd,front,95.3,0.812,0.913,0.829,2500,rotor,2,80,mpfi,3.3300000000000005,3.2598469387755107,9.4,135.0,6000.0,16,23,15645,6.808510638297872,9.787234042553191,medium,0,1,1,0
55,1,129.0,mazda,2,hatchback,fwd,front,98.8,0.854,0.924,0.898,2385,ohc,4,122,2bbl,3.39,3.39,8.6,84.0,4800.0,26,32,8845,11.063829787234042,13.617021276595745,low,0,1,1,0
56,0,115.0,mazda,4,sedan,fwd,front,98.8,0.854,0.924,0.928,2410,ohc,4,122,2bbl,3.39,3.39,8.6,84.0,4800.0,26,32,8495,11.063829787234042,13.617021276595745,low,0,1,1,0
57,1,129.0,mazda,2,hatchback,fwd,front,98.8,0.854,0.924,0.898,2385,ohc,4,122,2bbl,3.39,3.39,8.6,84.0,4800.0,26,32,10595,11.063829787234042,13.617021276595745,low,0,1,1,0
58,0,115.0,mazda,4,sedan,fwd,front,98.8,0.854,0.924,0.928,2410,ohc,4,122,2bbl,3.39,3.39,8.6,84.0,4800.0,26,32,10245,11.063829787234042,13.617021276595745,low,0,1,1,0
59,0,122.0,mazda,4,sedan,fwd,front,98.8,0.854,0.924,0.928,2443,ohc,4,122,idi,3.39,3.39,22.7,0.889,4650.0,36,42,10795,15.319148936170212,17.872340425531913,low,1,0,1,0
60,0,115.0,mazda,4,hatchback,fwd,front,98.8,0.854,0.924,0.928,2425,ohc,4,122,2bbl,3.39,3.39,8.6,84.0,4800.0,26,32,11245,11.063829787234042,13.617021276595745,low,0,1,1,0
61,0,118.0,mazda,4,sedan,rwd,front,104.9,0.841,0.918,0.910,2670,ohc,4,140,mpfi,3.76,3.16,8.0,120.0,5000.0,19,27,18280,8.085106382978724,11.48936170212766,medium,0,1,1,0
62,0,122.0,mazda,4,sedan,rwd,front,104.9,0.841,0.918,0.910,2700,ohc,4,134,idi,3.43,3.64,22.0,1.0,4200.0,31,39,18344,13.191489361702127,16.595744680851062,low,1,0,1,0
63,-1,93.0,mercedes-benz,4,sedan,rwd,front,110.0,0.917,0.976,0.945,3515,ohc,5,183,idi,3.58,3.64,21.5,123.0,4350.0,22,25,25552,9.361702127659575,10.638297872340425,medium,1,0,0,1
64,-1,93.0,mercedes-benz,4,wagon,rwd,front,110.0,0.917,0.976,0.982,3750,ohc,5,183,idi,3.58,3.64,21.5,123.0,4350.0,22,25,28248,9.361702127659575,10.638297872340425,medium,1,0,0,1
65,0,93.0,mercedes-benz,2,hardtop,rwd,front,106.7,0.901,0.976,0.918,3495,ohc,5,183,idi,3.58,3.64,21.5,123.0,4350.0,22,25,28176,9.361702127659575,10.638297872340425,medium,1,0,0,1
66,-1,93.0,mercedes-benz,4,sedan,rwd,front,115.6,0.974,0.996,0.941,3770,ohc,5,183,idi,3.58,3.64,21.5,123.0,4350.0,22,25,31600,9.361702127659575,10.638297872340425,medium,1,0,0,1
67,-1,122.0,mercedes-benz,4,sedan,rwd,front,115.6,0.974,0.996,0.945,3740,ohcv,8,234,mpfi,3.46,3.1,8.3,155.0,4750.0,16,18,34184,6.808510638297872,7.659574468085106,medium,0,1,1,0
68,3,142.0,mercedes-benz,2,convertible,rwd,front,96.6,0.866,0.979,0.849,3685,ohcv,8,234,mpfi,3.46,3.1,8.3,155.0,4750.0,16,18,35056,6.808510638297872,7.659574468085106,medium,0,1,1,0
69,0,122.0,mercedes-benz,4,sedan,rwd,front,120.9,1.000,0.996,0.948,3900,ohcv,8,308,mpfi,3.8,3.35,8.0,184.0,4500.0,14,16,40960,5.957446808510638,6.808510638297872,high,0,1,1,0
70,1,122.0,mercedes-benz,2,hardtop,rwd,front,112.0,0.957,1.000,0.926,3715,ohcv,8,304,mpfi,3.8,3.35,8.0,184.0,4500.0,14,16,45400,5.957446808510638,6.808510638297872,high,0,1,1,0
71,1,122.0,mercury,2,hatchback,rwd,front,102.7,0.857,0.944,0.916,2910,ohc,4,140,mpfi,3.78,3.12,8.0,0.841,5000.0,19,24,16503,8.085106382978724,10.212765957446807,low,0,1,0,1
72,2,161.0,mitsubishi,2,hatchback,fwd,front,93.7,0.756,0.894,0.849,1918,ohc,4,92,2bbl,2.97,3.23,9.4,0.944,5500.0,37,41,5389,15.74468085106383,17.4468085106383,low,0,1,1,0
73,2,161.0,mitsubishi,2,hatchback,fwd,front,93.7,0.756,0.894,0.849,1944,ohc,4,92,2bbl,2.97,3.23,9.4,0.944,5500.0,31,38,6189,13.191489361702127,16.170212765957448,low,0,1,1,0
74,2,161.0,mitsubishi,2,hatchback,fwd,front,93.7,0.756,0.894,0.849,2004,ohc,4,92,2bbl,2.97,3.23,9.4,0.944,5500.0,31,38,6669,13.191489361702127,16.170212765957448,low,0,1,1,0
75,1,161.0,mitsubishi,2,hatchback,fwd,front,93.0,0.756,0.886,0.849,2145,ohc,4,98,spdi,3.03,3.39,7.6,102.0,5500.0,24,30,7689,10.212765957446807,12.76595744680851,medium,0,1,0,1
76,3,153.0,mitsubishi,2,hatchback,fwd,front,96.3,0.831,0.908,0.826,2370,ohc,4,110,spdi,3.17,3.46,7.5,116.0,5500.0,23,30,9959,9.787234042553191,12.76595744680851,medium,0,1,0,1
77,3,153.0,mitsubishi,2,hatchback,fwd,front,96.3,0.831,0.908,0.826,2328,ohc,4,122,2bbl,3.35,3.46,8.5,88.0,5000.0,25,32,8499,10.638297872340425,13.617021276595745,medium,0,1,1,0
78,3,122.0,mitsubishi,2,hatchback,fwd,front,95.9,0.832,0.921,0.839,2833,ohc,4,156,spdi,3.58,3.86,7.0,145.0,5000.0,19,24,12629,8.085106382978724,10.212765957446807,medium,0,1,0,1
79,3,122.0,mitsubishi,2,hatchback,fwd,front,95.9,0.832,0.921,0.839,2921,ohc,4,156,spdi,3.59,3.86,7.0,145.0,5000.0,19,24,14869,8.085106382978724,10.212765957446807,medium,0,1,0,1
80,3,122.0,mitsubishi,2,hatchback,fwd,front,95.9,0.832,0.921,0.839,2926,ohc,4,156,spdi,3.59,3.86,7.0,145.0,5000.0,19,24,14489,8.085106382978724,10.212765957446807,medium,0,1,0,1
81,1,125.0,mitsubishi,4,sedan,fwd,front,96.3,0.828,0.908,0.863,2365,ohc,4,122,2bbl,3.35,3.46,8.5,88.0,5000.0,25,32,6989,10.638297872340425,13.617021276595745,medium,0,1,1,0
82,1,125.0,mitsubishi,4,sedan,fwd,front,96.3,0.828,0.908,0.863,2405,ohc,4,122,2bbl,3.35,3.46,8.5,88.0,5000.0,25,32,8189,10.638297872340425,13.617021276595745,medium,0,1,1,0
83,1,125.0,mitsubishi,4,sedan,fwd,front,96.3,0.828,0.908,0.863,2403,ohc,4,110,spdi,3.17,3.46,7.5,116.0,5500.0,23,30,9279,9.787234042553191,12.76595744680851,medium,0,1,0,1
84,-1,137.0,mitsubishi,4,sedan,fwd,front,96.3,0.828,0.908,0.863,2403,ohc,4,110,spdi,3.17,3.46,7.5,116.0,5500.0,23,30,9279,9.787234042553191,12.76595744680851,medium,0,1,1,0
85,1,128.0,nissan,2,sedan,fwd,front,94.5,0.794,0.886,0.911,1889,ohc,4,97,2bbl,3.15,3.29,9.4,69.0,5200.0,31,37,5499,13.191489361702127,15.74468085106383,low,0,1,1,0
86,1,128.0,nissan,2,sedan,fwd,front,94.5,0.794,0.886,0.911,2017,ohc,4,103,idi,2.99,3.47,21.9,55.0,4800.0,45,50,7099,19.148936170212764,21.27659574468085,low,1,0,1,0
87,1,128.0,nissan,2,sedan,fwd,front,94.5,0.794,0.886,0.911,1918,ohc,4,97,2bbl,3.15,3.29,9.4,69.0,5200.0,31,37,6649,13.191489361702127,15.74468085106383,low,0,1,1,0
88,1,122.0,nissan,4,sedan,fwd,front,94.5,0.794,0.886,0.911,1938,ohc,4,97,2bbl,3.15,3.29,9.4,69.0,5200.0,31,37,6849,13.191489361702127,15.74468085106383,low,0,1,1,0
89,1,103.0,nissan,4,wagon,fwd,front,94.5,0.818,0.886,0.895,2024,ohc,4,97,2bbl,3.15,3.29,9.4,69.0,5200.0,31,37,7349,13.191489361702127,15.74468085106383,low,0,1,1,0
90,1,128.0,nissan,2,sedan,fwd,front,94.5,0.794,0.886,0.911,1951,ohc,4,97,2bbl,3.15,3.29,9.4,69.0,5200.0,31,37,7299,13.191489361702127,15.74468085106383,low,0,1,1,0
91,1,128.0,nissan,2,hatchback,fwd,front,94.5,0.796,0.886,0.891,2028,ohc,4,97,2bbl,3.15,3.29,9.4,69.0,5200.0,31,37,7799,13.191489361702127,15.74468085106383,low,0,1,1,0
92,1,122.0,nissan,4,sedan,fwd,front,94.5,0.794,0.886,0.911,1971,ohc,4,97,2bbl,3.15,3.29,9.4,69.0,5200.0,31,37,7499,13.191489361702127,15.74468085106383,low,0,1,1,0
93,1,103.0,nissan,4,wagon,fwd,front,94.5,0.818,0.886,0.895,2037,ohc,4,97,2bbl,3.15,3.29,9.4,69.0,5200.0,31,37,7999,13.191489361702127,15.74468085106383,low,0,1,1,0
94,2,168.0,nissan,2,hardtop,fwd,front,95.1,0.780,0.886,0.891,2008,ohc,4,97,2bbl,3.15,3.29,9.4,69.0,5200.0,31,37,8249,13.191489361702127,15.74468085106383,low,0,1,1,0
95,0,106.0,nissan,4,hatchback,fwd,front,97.2,0.833,0.906,0.915,2324,ohc,4,120,2bbl,3.33,3.47,8.5,97.0,5200.0,27,34,8949,11.48936170212766,14.468085106382977,medium,0,1,1,0
96,0,106.0,nissan,4,sedan,fwd,front,97.2,0.833,0.906,0.915,2302,ohc,4,120,2bbl,3.33,3.47,8.5,97.0,5200.0,27,34,9549,11.48936170212766,14.468085106382977,medium,0,1,1,0
97,0,128.0,nissan,4,sedan,fwd,front,100.4,0.873,0.924,0.921,3095,ohcv,6,181,mpfi,3.43,3.27,9.0,152.0,5200.0,17,22,13499,7.234042553191489,9.361702127659575,medium,0,1,1,0
98,0,108.0,nissan,4,wagon,fwd,front,100.4,0.887,0.924,0.938,3296,ohcv,6,181,mpfi,3.43,3.27,9.0,152.0,5200.0,17,22,14399,7.234042553191489,9.361702127659575,medium,0,1,1,0
