,symboling,normalized-losses,make,num-of-doors,body-style,drive-wheels,engine-location,wheel-base,length,width,height,curb-weight,engine-type,num-of-cylinders,engine-size,fuel-system,bore,stroke,compression-ratio,horsepower,peak-rpm,city-mpg,highway-mpg,price,city-L/100km,highway-L/100km,horsepower-binned,fuel-type-diesel,fuel-type-gas,aspiration-std,aspiration-turbo
99,0,108.0,nissan,4,sedan,fwd,front,100.4,0.887,0.924,0.921,3060,ohcv,6,181,mpfi,3.43,3.27,9.0,152.0,5200.0,19,25,13499,8.085106382978724,10.638297872340425,medium,0,1,1,0
100,3,194.0,nissan,2,hatchback,rwd,front,91.3,0.820,0.943,0.831,3071,ohcv,6,181,mpfi,3.43,3.27,9.0,160.0,5200.0,19,25,17199,8.085106382978724,10.638297872340425,medium,0,1,1,0
101,3,194.0,nissan,2,hatchback,rwd,front,91.3,0.820,0.943,0.831,3139,ohcv,6,181,mpfi,3.43,3.27,7.8,200.0,5200.0,17,23,19699,7.234042553191489,9.787234042553191,high,0,1,0,1
102,1,231.0,nissan,2,hatchback,rwd,front,99.2,0.858,0.943,0.831,3139,ohcv,6,181,mpfi,3.43,3.27,9.0,160.0,5200.0,19,25,18399,8.085106382978724,10.638297872340425,medium,0,1,1,0
103,0,161.0,peugot,4,sedan,rwd,front,107.9,0.897,0.950,0.948,3020,l,4,120,mpfi,3.46,3.19,8.4,97.0,5000.0,19,24,11900,8.085106382978724,10.212765957446807,medium,0,1,1,0
104,0,161.0,peugot,4,sedan,rwd,front,107.9,0.897,0.950,0.948,3197,l,4,152,idi,3.7,3.52,21.0,95.0,4150.0,28,33,13200,11.914893617021276,14.042553191489361,medium,1,0,0,1
105,0,122.0,peugot,4,wagon,rwd,front,114.2,0.956,0.950,0.982,3230,l,4,120,mpfi,3.46,3.19,8.4,97.0,5000.0,19,24,12440,8.085106382978724,10.212765957446807,medium,0,1,1,0
106,0,122.0,peugot,4,wagon,rwd,front,114.2,0.956,0.950,0.982,3430,l,4,152,idi,3.7,3.52,21.0,95.0,4150.0,25,25,13860,10.638297872340425,10.638297872340425,medium,1,0,0,1
107,0,161.0,peugot,4,sedan,rwd,front,107.9,0.897,0.950,0.948,3075,l,4,120,mpfi,3.46,2.19,8.4,95.0,5000.0,19,24,15580,8.085106382978724,10.212765957446807,medium,0,1,1,0
108,0,161.0,peugot,4,sedan,rwd,front,107.9,0.897,0.950,0.948,3252,l,4,152,idi,3.7,3.52,21.0,95.0,4150.0,28,33,16900,11.914893617021276,14.042553191489361,medium,1,0,0,1
109,0,122.0,peugot,4,wagon,rwd,front,114.2,0.956,0.950,0.948,3285,l,4,120,mpfi,3.46,2.19,8.4,95.0,5000.0,19,24,16695,8.085106382978724,10.212765957446807,medium,0,1,1,0
110,0,122.0,peugot,4,wagon,rwd,front,114.2,0.956,0.950,0.982,3485,l,4,152,idi,3.7,3.52,21.0,95.0,4150.0,25,25,17075,10.638297872340425,10.638297872340425,medium,1,0,0,1
111,0,161.0,peugot,4,sedan,rwd,front,107.9,0.897,0.950,0.948,3075,l,4,120,mpfi,3.46,3.19,8.4,97.0,5000.0,19,24,16630,8.085106382978724,10.212765957446807,medium,0,1,1,0
112,0,161.0,peugot,4,sedan,rwd,front,107.9,0.897,0.950,0.948,3252,l,4,152,idi,3.7,3.52,21.0,95.0,4150.0,28,33,17950,11.914893617021276,14.042553191489361,medium,1,0,0,1
113,0,161.0,peugot,4,sedan,rwd,front,108.0,0.897,0.949,0.936,3130,l,4,134,mpfi,3.61,3.21,7.0,142.0,5600.0,18,24,18150,7.659574468085106,10.212765957446807,medium,0,1,0,1
114,1,119.0,plymouth,2,hatchback,fwd,front,93.7,0.756,0.886,0.849,1918,ohc,4,90,2bbl,2.97,3.23,9.4,0.944,5500.0,37,41,5572,15.74468085106383,17.4468085106383,low,0,1,1,0
115,1,119.0,plymouth,2,hatchback,fwd,front,93.7,0.756,0.886,0.849,2128,ohc,4,98,spdi,3.03,3.39,7.6,102.0,5500.0,24,30,7957,10.212765957446807,12.76595744680851,medium,0,1,0,1
116,1,154.0,plymouth,4,hatchback,fwd,front,93.7,0.756,0.886,0.846,1967,ohc,4,90,2bbl,2.97,3.23,9.4,0.944,5500.0,31,38,6229,13.191489361702127,16.170212765957448,low,0,1,1,0
117,1,154.0,plymouth,4,sedan,fwd,front,93.7,0.804,0.886,0.849,1989,ohc,4,90,2bbl,2.97,3.23,9.4,0.944,5500.0,31,38,6692,13.191489361702127,16.170212765957448,low,0,1,1,0
118,1,154.0,plymouth,4,sedan,fwd,front,93.7,0.804,0.886,0.849,2191,ohc,4,98,2bbl,2.97,3.23,9.4,0.944,5500.0,31,38,7609,13.191489361702127,16.170212765957448,low,0,1,1,0
119,-1,74.0,plymouth,4,wagon,fwd,front,103.3,0.839,0.897,1.000,2535,ohc,4,122,2bbl,3.35,3.46,8.5,88.0,5000.0,24,30,8921,10.212765957446807,12.76595744680851,medium,0,1,1,0
120,3,122.0,plymouth,2,hatchback,rwd,front,95.9,0.832,0.921,0.839,2818,ohc,4,156,spdi,3.59,3.86,7.0,145.0,5000.0,19,24,12764,8.085106382978724,10.212765957446807,medium,0,1,0,1
121,3,186.0,porsche,2,hatchback,rwd,front,94.5,0.812,0.949,0.839,2778,ohc,4,151,mpfi,3.94,3.11,9.5,143.0,5500.0,19,27,22018,8.085106382978724,11.48936170212766,medium,0,1,1,0
122,3,122.0,porsche,2,hardtop,rwd,rear,89.5,0.812,0.903,0.863,2756,ohcf,6,194,mpfi,3.74,2.9,9.5,207.0,5900.0,17,25,32528,7.234042553191489,10.638297872340425,high,0,1,1,0
123,3,122.0,porsche,2,hardtop,rwd,rear,89.5,0.812,0.903,0.863,2756,ohcf,6,194,mpfi,3.74,2.9,9.5,207.0,5900.0,17,25,34028,7.234042553191489,10.638297872340425,high,0,1,1,0
124,3,122.0,porsche,2,convertible,rwd,rear,89.5,0.812,0.903,0.863,2800,ohcf,6,194,mpfi,3.74,2.9,9.5,207.0,5900.0,17,25,37028,7.234042553191489,10.638297872340425,high,0,1,1,0
125,0,122.0,renault,4,wagon,fwd,front,96.1,0.872,0.924,0.923,2579,ohc,4,132,mpfi,3.46,3.9,8.7,103.35858585858585,5118.181818181818,23,31,9295,9.787234042553191,13.191489361702127,medium,0,1,1,0
126,2,122.0,renault,2,hatchback,fwd,front,96.1,0.850,0.925,0.844,2460,ohc,4,132,mpfi,3.46,3.9,8.7,103.35858585858585,5118.181818181818,23,31,9895,9.787234042553191,13.191489361702127,medium,0,1,1,0
127,3,0.721,saab,2,hatchback,fwd,front,99.1,0.897,0.924,0.938,2658,ohc,4,121,mpfi,3.54,3.07,9.31,110.0,5250.0,21,28,11850,8.936170212765957,11.914893617021276,medium,0,1,1,0
128,2,104.0,saab,4,sedan,fwd,front,99.1,0.897,0.924,0.938,2695,ohc,4,121,mpfi,3.54,3.07,9.3,110.0,5250.0,21,28,12170,8.936170212765957,11.914893617021276,medium,0,1,1,0
129,3,0.721,saab,2,hatchback,fwd,front,99.1,0.897,0.924,0.938,2707,ohc,4,121,mpfi,2.54,2.07,9.3,110.0,5250.0,21,28,15040,8.936170212765957,11.914893617021276,medium,0,1,1,0
130,2,104.0,saab,4,sedan,fwd,front,99.1,0.897,0.924,0.938,2758,ohc,4,121,mpfi,3.54,3.07,9.3,110.0,5250.0,21,28,15510,8.936170212765957,11.914893617021276,medium,0,1,1,0
131,3,0.721,saab,2,hatchback,fwd,front,99.1,0.897,0.924,0.938,2808,dohc,4,121,mpfi,3.54,3.07,9.0,160.0,5500.0,19,26,18150,8.085106382978724,11.063829787234042,medium,0,1,0,1
132,2,104.0,saab,4,sedan,fwd,front,99.1,0.897,0.924,0.938,2847,dohc,4,121,mpfi,3.54,3.07,9.0,160.0,5500.0,19,26,18620,8.085106382978724,11.063829787234042,medium,0,1,0,1
133,2,83.0,subaru,2,hatchback,fwd,front,93.7,0.754,0.881,0.898,2050,ohcf,4,97,2bbl,3.62,2.36,9.0,69.0,4900.0,31,36,5118,13.191489361702127,15.319148936170212,low,0,1,1,0
134,2,83.0,subaru,2,hatchback,fwd,front,93.7,0.759,0.883,0.898,2120,ohcf,4,108,2bbl,3.62,2.64,8.7,73.0,4400.0,26,31,7053,11.063829787234042,13.191489361702127,low,0,1,1,0
135,2,83.0,subaru,2,hatchback,4wd,front,93.3,0.756,0.886,0.931,2240,ohcf,4,108,2bbl,3.62,2.64,8.7,73.0,4400.0,26,31,7603,11.063829787234042,13.191489361702127,low,0,1,1,0
136,0,102.0,subaru,4,sedan,fwd,front,97.2,0.827,0.908,0.878,2145,ohcf,4,108,2bbl,3.62,2.64,9.5,82.0,4800.0,32,37,7126,13.617021276595745,15.74468085106383,low,0,1,1,0
137,0,102.0,subaru,4,sedan,fwd,front,97.2,0.827,0.908,0.878,2190,ohcf,4,108,2bbl,3.62,2.64,9.5,82.0,4400.0,28,33,7775,11.914893617021276,14.042553191489361,low,0,1,1,0
138,0,102.0,subaru,4,sedan,fwd,front,97.2,0.827,0.908,0.878,2340,ohcf,4,108,mpfi,3.62,2.64,9.0,94.0,5200.0,26,32,9960,11.063829787234042,13.617021276595745,medium,0,1,1,0
139,0,102.0,subaru,4,sedan,4wd,front,97.0,0.827,0.908,0.908,2385,ohcf,4,108,2bbl,3.62,2.64,9.0,82.0,4800.0,24,25,9233,10.212765957446807,10.638297872340425,low,0,1,1,0
140,0,102.0,subaru,4,sedan,4wd,front,97.0,0.827,0.908,0.908,2510,ohcf,4,108,mpfi,3.62,2.64,7.7,111.0,4800.0,24,29,11259,10.212765957446807,12.340425531914892,medium,0,1,0,1
141,0,89.0,subaru,4,wagon,fwd,front,97.0,0.834,0.908,0.886,2290,ohcf,4,108,2bbl,3.62,2.64,9.0,82.0,4800.0,28,32,7463,11.914893617021276,13.617021276595745,low,0,1,1,0
142,0,89.0,subaru,4,wagon,fwd,front,97.0,0.834,0.908,0.886,2455,ohcf,4,108,mpfi,3.62,2.64,9.0,94.0,5200.0,25,31,10198,10.638297872340425,13.191489361702127,medium,0,1,1,0
143,0,85.0,subaru,4,wagon,4wd,front,96.9,0.834,0.908,0.918,2420,ohcf,4,108,2bbl,3.62,2.64,9.0,82.0,4800.0,23,29,8013,9.787234042553191,12.340425531914892,low,0,1,1,0
144,0,85.0,subaru,4,wagon,4wd,front,96.9,0.834,0.908,0.918,2650,ohcf,4,108,mpfi,3.62,2.64,7.7,111.0,4800.0,23,23,11694,9.787234042553191,9.787234042553191,medium,0,1,0,1
145,1,87.0,toyota,2,hatchback,fwd,front,95.7,0.763,0.883,0.911,1985,ohc,4,92,2bbl,3.05,3.03,9.0,62.0,4800.0,35,39,5348,14.893617021276595,16.595744680851062,low,0,1,1,0
146,1,87.0,toyota,2,hatchback,fwd,front,95.7,0.763,0.883,0.911,2040,ohc,4,92,2bbl,3.05,3.03,9.0,62.0,4800.0,31,38,6338,13.191489361702127,16.170212765957448,low,0,1,1,0
147,1,74.0,toyota,4,hatchback,fwd,front,95.7,0.763,0.883,0.911,2015,ohc,4,92,2bbl,3.05,3.03,9.0,62.0,4800.0,31,38,6488,13.191489361702127,16.170212765957448,low,0,1,1,0
148,0,77.0,toyota,4,wagon,fwd,front,95.7,0.815,0.883,0.988,2280,ohc,4,92,2bbl,3.05,3.03,9.0,62.0,4800.0,31,37,6918,13.191489361702127,15.74468085106383,low,0,1,1,0
149,0,81.0,toyota,4,wagon,4wd,front,95.7,0.815,0.883,0.988,2290,ohc,4,92,2bbl,3.05,3.03,9.0,62.0,4800.0,27,32,7898,11.48936170212766,13.617021276595745,low,0,1,1,0
150,0,91.0,toyota,4,wagon,4wd,front,95.7,0.815,0.883,0.988,3110,ohc,4,92,2bbl,3.05,3.03,9.0,62.0,4800.0,27,32,8778,11.48936170212766,13.617021276595745,low,0,1,1,0
151,0,91.0,toyota,4,sedan,fwd,front,95.7,0.799,0.894,0.886,2081,ohc,4,98,2bbl,3.19,3.03,9.0,70.0,4800.0,30,37,6938,12.76595744680851,15.74468085106383,low,0,1,1,0
152,0,91.0,toyota,4,hatchback,fwd,front,95.7,0.799,0.894,0.883,2109,ohc,4,98,2bbl,3.19,3.03,9.0,70.0,4800.0,30,37,7198,12.76595744680851,15.74468085106383,low,0,1,1,0
153,0,91.0,toyota,4,sedan,fwd,front,95.7,0.799,0.894,0.886,2275,ohc,4,110,idi,3.27,3.35,22.5,0.936,4500.0,34,36,7898,14.468085106382977,15.319148936170212,low,1,0,1,0
154,0,91.0,toyota,4,hatchback,fwd,front,95.7,0.799,0.894,0.883,2275,ohc,4,110,idi,3.27,3.35,22.5,0.936,4500.0,38,47,7788,16.170212765957448,20.0,low,1,0,1,0
155,0,91.0,toyota,4,sedan,fwd,front,95.7,0.799,0.894,0.886,2094,ohc,4,98,2bbl,3.19,3.03,9.0,70.0,4800.0,38,47,7738,16.170212765957448,20.0,low,0,1,1,0
156,0,91.0,toyota,4,hatchback,fwd,front,95.7,0.799,0.894,0.883,2122,ohc,4,98,2bbl,3.19,3.03,9.0,70.0,4800.0,28,34,8358,11.914893617021276,14.468085106382977,low,0,1,1,0
157,0,91.0,toyota,4,sedan,fwd,front,95.7,0.799,0.894,0.883,2140,ohc,4,98,2bbl,3.19,3.03,9.0,70.0,4800.0,28,34,9258,11.914893617021276,14.468085106382977,low,0,1,1,0
158,1,168.0,toyota,2,sedan,rwd,front,94.5,0.811,0.889,0.880,2169,ohc,4,98,2bbl,3.19,3.03,9.0,70.0,4800.0,29,34,8058,12.340425531914892,14.468085106382977,low,0,1,1,0
159,1,168.0,toyota,2,hatchback,rwd,front,94.5,0.811,0.889,0.880,2204,ohc,4,98,2bbl,3.19,3.03,9.0,70.0,4800.0,29,34,8238,12.340425531914892,14.468085106382977,low,0,1,1,0
160,1,168.0,toyota,2,sedan,rwd,front,94.5,0.811,0.889,0.880,2265,dohc,4,98,mpfi,3.24,3.08,9.4,112.0,6600.0,26,29,9298,11.063829787234042,12.340425531914892,medium,0,1,1,0
161,1,168.0,toyota,2,hatchback,rwd,front,94.5,0.811,0.889,0.880,2300,dohc,4,98,mpfi,3.24,3.08,9.4,112.0,6600.0,26,29,9538,11.063829787234042,12.340425531914892,medium,0,1,1,0
162,2,134.0,toyota,2,hardtop,rwd,front,98.4,0.847,0.911,0.870,2540,ohc,4,146,mpfi,3.62,3.5,9.3,116.0,4800.0,24,30,8449,10.212765957446807,12.76595744680851,medium,0,1,1,0
163,2,134.0,toyota,2,hardtop,rwd,front,98.4,0.847,0.911,0.870,2536,ohc,4,146,mpfi,3.62,3.5,9.3,116.0,4800.0,24,30,9639,10.212765957446807,12.76595744680851,medium,0,1,1,0
164,2,134.0,toyota,2,hatchback,rwd,front,98.4,0.847,0.911,0.870,2551,ohc,4,146,mpfi,3.62,3.5,9.3,116.0,4800.0,24,30,9989,10.212765957446807,12.76595744680851,medium,0,1,1,0
165,2,134.0,toyota,2,hardtop,rwd,front,98.4,0.847,0.911,0.870,2679,ohc,4,146,mpfi,3.62,3.5,9.3,116.0,4800.0,24,30,11199,10.212765957446807,12.76595744680851,medium,0,1,1,0
166,2,134.0,toyota,2,hatchback,rwd,front,98.4,0.847,0.911,0.870,2714,ohc,4,146,mpfi,3.62,3.5,9.3,116.0,4800.0,24,30,11549,10.212765957446807,12.76595744680851,medium,0,1,1,0
167,2,134.0,toyota,2,convertible,rwd,front,98.4,0.847,0.911,0.886,2975,ohc,4,146,mpfi,3.62,3.5,9.3,116.0,4800.0,24,30,17669,10.212765957446807,12.76595744680851,medium,0,1,1,0
168,-1,0.903,toyota,4,sedan,fwd,front,102.4,0.844,0.924,0.918,2326,ohc,4,122,mpfi,3.31,3.54,8.7,92.0,4200.0,29,34,8948,12.340425531914892,14.468085106382977,medium,0,1,1,0
169,-1,0.903,toyota,4,sedan,fwd,front,102.4,0.844,0.924,0.918,2480,ohc,4,110,idi,3.27,3.35,22.5,73.0,4500.0,30,33,10698,12.76595744680851,14.042553191489361,low,1,0,0,1
170,-1,0.903,toyota,4,hatchback,fwd,front,102.4,0.844,0.924,0.901,2414,ohc,4,122,mpfi,3.31,3.54,8.7,92.0,4200.0,27,32,9988,11.48936170212766,13.617021276595745,medium,0,1,1,0
171,-1,0.903,toyota,4,sedan,fwd,front,102.4,0.844,0.924,0.918,2414,ohc,4,122,mpfi,3.31,3.54,8.7,92.0,4200.0,27,32,10898,11.48936170212766,13.617021276595745,medium,0,1,1,0
172,-1,0.903,toyota,4,hatchback,fwd,front,102.4,0.844,0.924,0.901,2458,ohc,4,122,mpfi,3.31,3.54,8.7,92.0,4200.0,27,32,11248,11.48936170212766,13.617021276595745,medium,0,1,1,0
173,3,0.947,toyota,2,hatchback,rwd,front,102.9,0.882,0.940,0.870,2976,dohc,6,171,mpfi,3.27,3.35,9.3,161.0,5200.0,20,24,16558,8.51063829787234,10.212765957446807,medium,0,1,1,0
174,3,0.947,toyota,2,hatchback,rwd,front,102.9,0.882,0.940,0.870,3016,dohc,6,171,mpfi,3.27,3.35,9.3,161.0,5200.0,19,24,15998,8.085106382978724,10.212765957446807,medium,0,1,1,0
175,-1,90.0,toyota,4,sedan,rwd,front,104.5,0.902,0.924,0.905,3131,dohc,6,171,mpfi,3.27,3.35,9.2,156.0,5200.0,20,24,15690,8.51063829787234,10.212765957446807,medium,0,1,1,0
176,-1,122.0,toyota,4,wagon,rwd,front,104.5,0.902,0.924,0.905,3151,dohc,6,161,mpfi,3.27,3.35,9.2,156.0,5200.0,19,24,15750,8.085106382978724,10.212765957446807,medium,0,1,1,0
177,2,122.0,volkswagen,2,sedan,fwd,front,97.3,0.825,0.910,0.931,2261,ohc,4,97,idi,3.01,3.4,23.0,0.87,4800.0,37,46,7775,15.74468085106383,19.574468085106382,low,1,0,1,0
178,2,122.0,volkswagen,2,sedan,fwd,front,97.3,0.825,0.910,0.931,2209,ohc,4,109,mpfi,3.19,3.4,9.0,85.0,5250.0,27,34,7975,11.48936170212766,14.468085106382977,low,0,1,1,0
179,2,94.0,volkswagen,4,sedan,fwd,front,97.3,0.825,0.910,0.931,2264,ohc,4,97,idi,3.01,3.4,23.0,0.87,4800.0,37,46,7995,15.74468085106383,19.574468085106382,low,1,0,1,0
180,2,94.0,volkswagen,4,sedan,fwd,front,97.3,0.825,0.910,0.931,2212,ohc,4,109,mpfi,3.19,3.4,9.0,85.0,5250.0,27,34,8195,11.48936170212766,14.468085106382977,low,0,1,1,0
181,2,94.0,volkswagen,4,sedan,fwd,front,97.3,0.825,0.910,0.931,2275,ohc,4,109,mpfi,3.19,3.4,9.0,85.0,5250.0,27,34,8495,11.48936170212766,14.468085106382977,low,0,1,1,0
182,2,94.0,volkswagen,4,sedan,fwd,front,97.3,0.825,0.910,0.931,2319,ohc,4,97,idi,3.01,3.4,23.0,0.944,4500.0,37,42,9495,15.74468085106383,17.872340425531913,low,1,0,0,1
183,2,94.0,volkswagen,4,sedan,fwd,front,97.3,0.825,0.910,0.931,2300,ohc,4,109,mpfi,3.19,3.4,10.0,100.0,5500.0,26,32,9995,11.063829787234042,13.617021276595745,medium,0,1,1,0
184,3,122.0,volkswagen,2,convertible,fwd,front,94.5,0.765,0.892,0.930,2254,ohc,4,109,mpfi,3.19,3.4,8.5,90.0,5500.0,24,29,11595,10.212765957446807,12.340425531914892,medium,0,1,1,0
185,3,256.0,volkswagen,2,hatchback,fwd,front,94.5,0.796,0.889,0.860,2221,ohc,4,109,mpfi,3.19,3.4,8.5,90.0,5500.0,24,29,9980,10.212765957446807,12.340425531914892,medium,0,1,1,0
186,0,122.0,volkswagen,4,sedan,fwd,front,100.4,0.866,0.929,0.921,2661,ohc,5,136,mpfi,3.19,3.4,8.5,110.0,5500.0,19,24,13295,8.085106382978724,10.212765957446807,medium,0,1,1,0
187,0,122.0,volkswagen,4,sedan,fwd,front,100.4,0.866,0.929,0.921,2579,ohc,4,97,idi,3.01,3.4,23.0,0.944,4500.0,33,38,13845,14.042553191489361,16.170212765957448,low,1,0,0,1
188,0,122.0,volkswagen,4,wagon,fwd,front,100.4,0.880,0.929,0.921,2563,ohc,4,109,mpfi,3.19,3.4,9.0,88.0,5500.0,25,31,12290,10.638297872340425,13.191489361702127,medium,0,1,1,0
189,-2,103.0,volvo,4,sedan,rwd,front,104.3,0.907,0.933,0.940,2912,ohc,4,141,mpfi,3.78,3.15,9.5,114.0,5400.0,23,28,12940,9.787234042553191,11.914893617021276,medium,0,1,1,0
190,-1,74.0,volvo,4,wagon,rwd,front,104.3,0.907,0.933,0.962,3034,ohc,4,141,mpfi,3.78,3.15,9.5,114.0,5400.0,23,28,13415,9.787234042553191,11.914893617021276,medium,0,1,1,0
191,-2,103.0,volvo,4,sedan,rwd,front,104.3,0.907,0.933,0.940,2935,ohc,4,141,mpfi,3.78,3.15,9.5,114.0,5400.0,24,28,15985,10.212765957446807,11.914893617021276,medium,0,1,1,0
192,-1,74.0,volvo,4,wagon,rwd,front,104.3,0.907,0.933,0.962,3042,ohc,4,141,mpfi,3.78,3.15,9.5,114.0,5400.0,24,28,16515,10.212765957446807,11.914893617021276,medium,0,1,1,0
193,-2,103.0,volvo,4,sedan,rwd,front,104.3,0.907,0.933,0.940,3045,ohc,4,130,mpfi,3.62,3.15,7.5,162.0,5100.0,17,22,18420,7.234042553191489,9.361702127659575,medium,0,1,0,1
194,-1,74.0,volvo,4,wagon,rwd,front,104.3,0.907,0.933,0.962,3157,ohc,4,130,mpfi,3.62,3.15,7.5,162.0,5100.0,17,22,18950,7.234042553191489,9.361702127659575,medium,0,1,0,1
195,-1,95.0,volvo,4,sedan,rwd,front,109.1,0.907,0.957,0.928,2952,ohc,4,141,mpfi,3.78,3.15,9.5,114.0,5400.0,23,28,16845,9.787234042553191,11.914893617021276,medium,0,1,1,0
196,-1,95.0,volvo,4,sedan,rwd,front,109.1,0.907,0.956,0.928,3049,ohc,4,141,mpfi,3.78,3.15,8.7,160.0,5300.0,19,25,19045,8.085106382978724,10.638297872340425,medium,0,1,0,1
197,-1,95.0,volvo,4,sedan,rwd,front,109.1,0.907,0.957,0.928,3012,ohcv,6,0.831,mpfi,3.58,2.87,8.8,134.0,5500.0,18,23,21485,7.659574468085106,9.787234042553191,medium,0,1,1,0
198,-1,95.0,volvo,4,sedan,rwd,front,109.1,0.907,0.957,0.928,3217,ohc,6,145,idi,3.01,3.4,23.0,106.0,4800.0,26,27,22470,11.063829787234042,11.48936170212766,medium,1,0,0,1
199,-1,95.0,volvo,4,sedan,rwd,front,109.1,0.907,0.957,0.928,3062,ohc,4,141,mpfi,3.78,3.15,9.5,114.0,5400.0,19,25,22625,8.085106382978724,10.638297872340425,medium,0,1,0,1
